RESULTADOS,tourism_100.txt
C,100,m,20,Runs,10,Seed,1765137749

=== HILL CLIMBING ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Viz1_Iter500,689.1143,687.1850,691.7272,681.2116,686.6302,686.5578,689.7429,687.4291,689.9848,685.2477,691.7272,681.2116,687.4831,2.7936
Viz1_Iter1000,689.5042,688.9040,689.5525,689.3511,691.0711,688.0390,689.8870,692.0101,688.7150,690.2616,692.0101,688.0390,689.7296,1.1001
Viz1_Iter2000,692.0101,691.3974,692.0101,691.8820,690.8204,691.8820,690.7350,690.5844,690.2262,691.7272,692.0101,690.2262,691.3275,0.6391
Viz2_Iter500,677.5184,675.3195,683.2549,676.7270,677.0401,673.5954,683.0205,666.2801,673.7821,671.6248,683.2549,666.2801,675.8163,4.7988
Viz2_Iter1000,675.8154,677.4684,683.3592,681.1583,680.7365,682.6153,681.1802,680.3362,683.7493,680.0491,683.7493,675.8154,680.6468,2.3518
Viz2_Iter2000,683.6745,680.2690,685.0573,681.4331,684.5348,681.6507,683.6650,681.8952,686.6797,687.0181,687.0181,680.2690,683.5877,2.1604


=== EVOLUTIVO ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio

# Variando Populacao
Pop30_Gen100,680.9378,683.3159,684.0015,688.3066,679.3943,685.6504,685.6025,686.1775,689.7638,688.1417,689.7638,679.3943,685.1292,3.1187
Pop50_Gen100,687.9870,690.6857,691.8820,687.4480,689.5795,687.6644,686.9687,688.6441,688.0782,690.8204,691.8820,686.9687,688.9758,1.5847
Pop100_Gen100,690.5844,691.9321,691.8820,691.5707,691.8820,689.4543,692.0101,691.9321,691.1900,690.8464,692.0101,689.4543,691.3284,0.7863

# Variando Probabilidades
Cx0.70_Mut0.05,688.1563,683.2541,679.4184,689.4101,690.2118,691.8820,691.5853,686.3593,688.8689,689.2912,691.8820,679.4184,687.8437,3.6860
Cx0.70_Mut0.10,687.6229,688.9343,684.5357,689.0487,690.4141,686.3083,689.6467,690.6788,690.4704,688.4403,690.6788,684.5357,688.6100,1.8780
Cx0.70_Mut0.20,690.9840,689.8581,690.5528,691.6478,689.8197,690.1843,691.3974,691.9321,690.2787,687.6807,691.9321,687.6807,690.4335,1.1549
Cx0.80_Mut0.05,690.4141,689.3401,687.0751,690.9479,685.0473,691.0385,689.9841,688.1608,689.3058,685.3982,691.0385,685.0473,688.6712,2.0749
Cx0.80_Mut0.10,691.6845,689.9396,690.7832,690.1527,690.2254,690.0136,686.4068,683.8898,687.7664,691.5853,691.6845,683.8898,689.2447,2.3574
Cx0.80_Mut0.20,688.5328,686.3324,692.0101,689.3999,690.2262,690.1448,690.0897,690.2118,688.6136,688.8312,692.0101,686.3324,689.4393,1.4238
Cx0.90_Mut0.05,689.9114,689.5675,688.0592,690.9929,686.5313,687.6019,688.0320,688.8375,688.2303,689.9631,690.9929,686.5313,688.7727,1.2659
Cx0.90_Mut0.10,690.8925,688.2970,686.8749,691.7993,688.7958,688.8421,689.4543,689.2505,691.2447,690.3626,691.7993,686.8749,689.5814,1.4240
Cx0.90_Mut0.20,691.2698,691.7993,689.6671,691.6845,689.9120,690.4099,688.3928,689.6038,689.5839,691.2698,691.7993,688.3928,690.3593,1.0587

# Comparando Selecoes
Sel_Torneio,689.7779,689.5499,691.2452,689.4101,687.3951,691.3974,690.5754,688.9161,686.2465,690.5212,691.3974,686.2465,689.5035,1.5585
Sel_Roleta,689.0793,689.9254,688.0656,691.4356,690.3988,689.5960,691.5106,689.5392,689.8885,690.8487,691.5106,688.0656,690.0288,1.0098

# Comparando Crossovers
Cross_Uniforme,689.7459,690.6137,688.7387,688.0879,689.1701,689.4143,691.1215,686.4358,689.1701,690.8202,691.1215,686.4358,689.3318,1.3258
Cross_UmPonto,687.1420,687.9150,686.6933,690.1752,688.2903,687.2264,683.8202,685.3553,689.5392,686.0951,690.1752,683.8202,687.2252,1.7979


=== HIBRIDOS ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Hibrido1_EA+HC,690.6075,690.6078,689.5661,690.1689,688.7391,688.6948,688.1172,691.2095,690.6972,691.8820,691.8820,688.1172,690.0290,1.1522
Hibrido2_HC+EA,688.6874,684.7547,687.5558,688.5485,688.5587,688.7521,688.8033,686.1068,687.7773,686.4839,688.8033,684.7547,687.6028,1.3184
Hibrido3_EA_Refinado,692.0101,692.0101,691.9321,691.9321,692.0101,692.0101,692.0101,692.0101,692.0101,692.0101,692.0101,691.9321,691.9945,0.0312


=== COMPARACAO FINAL ===
Algoritmo,Melhor,Pior,Media,Desvio
Melhor HC,692.0101,690.2262,691.3275,0.6391
Melhor EA,692.0101,689.4543,691.3284,0.7863
Hibrido 1,691.8820,688.1172,690.0290,1.1522
Hibrido 2,688.8033,684.7547,687.6028,1.3184
