RESULTADOS,tourism_50.txt
C,50,m,15,Runs,10,Seed,1765137740

=== HILL CLIMBING ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Viz1_Iter500,498.7146,497.5715,498.3343,497.2957,499.5381,499.2953,498.7146,498.7146,499.2953,491.5573,499.5381,491.5573,497.9031,2.2239
Viz1_Iter1000,498.7146,499.5381,498.1275,499.5381,499.5381,498.1275,498.7146,499.5381,498.1275,499.5381,499.5381,498.1275,498.9502,0.6221
Viz1_Iter2000,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,0.0000
Viz2_Iter500,497.2989,493.3785,481.2473,489.7999,481.2998,489.9503,488.9373,483.3149,490.8842,496.6370,497.2989,481.2473,489.2748,5.4993
Viz2_Iter1000,498.0004,498.3343,493.0855,487.4696,495.0106,491.5315,498.1275,498.4144,493.7742,493.0018,498.4144,487.4696,494.6750,3.4409
Viz2_Iter2000,498.0306,495.5549,499.5381,497.5699,495.3557,495.0106,499.5381,497.8809,496.1464,497.2989,499.5381,495.0106,497.1924,1.5571


=== EVOLUTIVO ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio

# Variando Populacao
Pop30_Gen100,496.1586,499.5381,499.5381,496.9294,498.7146,499.5381,495.7756,491.5956,498.4144,497.5470,499.5381,491.5956,497.3749,2.3362
Pop50_Gen100,499.5381,499.5381,499.5381,499.5381,499.5381,498.1275,496.7790,498.1275,499.5381,498.3830,499.5381,496.7790,498.8646,0.9160
Pop100_Gen100,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.2953,499.5381,499.5381,499.5381,499.5381,499.2953,499.5138,0.0728

# Variando Probabilidades
Cx0.70_Mut0.05,499.5381,498.3830,497.6478,499.5381,499.5381,498.3343,499.2953,497.0579,499.2953,499.5381,499.5381,497.0579,498.8166,0.8614
Cx0.70_Mut0.10,499.5381,499.5381,499.2953,499.5381,496.7790,499.5381,498.3343,498.1275,499.2953,498.1275,499.5381,496.7790,498.8111,0.8874
Cx0.70_Mut0.20,498.3343,499.5381,498.7146,499.5381,499.5381,499.5381,498.0306,499.5381,499.5381,498.1275,499.5381,498.0306,499.0436,0.6280
Cx0.80_Mut0.05,499.5381,498.1275,499.5381,498.3343,498.3830,499.5381,499.5381,496.8445,499.5381,496.8604,499.5381,496.8445,498.6240,1.0413
Cx0.80_Mut0.10,498.7146,499.5381,499.5381,498.3830,499.5381,499.5381,499.5381,499.5381,499.5381,498.7146,499.5381,498.3830,499.2579,0.4365
Cx0.80_Mut0.20,499.2953,498.1275,499.5381,499.5381,499.5381,498.3343,499.5381,498.7146,499.5381,498.3830,499.5381,498.1275,499.0545,0.5632
Cx0.90_Mut0.05,493.3691,499.2953,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,497.8513,499.5381,499.5381,493.3691,498.7282,1.8548
Cx0.90_Mut0.10,499.5381,498.7146,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,497.8513,499.5381,497.8513,499.2871,0.5379
Cx0.90_Mut0.20,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,498.7146,499.5381,498.7146,499.4557,0.2471

# Comparando Selecoes
Sel_Torneio,496.7715,499.5381,499.5381,497.6524,499.5381,497.0579,497.4780,499.5381,498.7146,499.5381,499.5381,496.7715,498.5365,1.1069
Sel_Roleta,498.7146,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,493.9833,499.5381,499.5381,499.5381,493.9833,498.9003,1.6573

# Comparando Crossovers
Cross_Uniforme,498.0004,498.3830,498.7146,498.1275,499.5381,499.5381,499.5381,499.5381,498.1275,499.2953,499.5381,498.0004,498.8801,0.6392
Cross_UmPonto,499.5381,499.5381,498.1275,495.8377,497.0579,495.9903,494.5924,499.5381,498.7146,499.5381,499.5381,494.5924,497.8473,1.7598


=== HIBRIDOS ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Hibrido1_EA+HC,499.5381,499.2953,499.5381,498.0306,499.5381,499.5381,499.5381,499.5381,498.0306,499.5381,499.5381,498.0306,499.2123,0.5952
Hibrido2_HC+EA,499.5381,499.5381,498.1275,498.4144,499.5381,499.2953,499.2953,499.5381,497.4287,497.5470,499.5381,497.4287,498.8261,0.8194
Hibrido3_EA_Refinado,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,0.0000


=== COMPARACAO FINAL ===
Algoritmo,Melhor,Pior,Media,Desvio
Melhor HC,499.5381,499.5381,499.5381,0.0000
Melhor EA,499.5381,499.2953,499.5138,0.0728
Hibrido 1,499.5381,498.0306,499.2123,0.5952
Hibrido 2,499.5381,497.4287,498.8261,0.8194
