RESULTADOS,tourism_250.txt
C,250,m,50,Runs,10,Seed,1765137758

=== HILL CLIMBING ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Cx0.70_Mut0.05,1785.8453,1792.5639,1790.2315,1782.8015,1777.5489,1789.4204,1790.9276,1783.7101,1791.5602,1787.0733,1792.5639,1777.5489,1787.1683,4.4979
Cx0.70_Mut0.10,1797.2087,1786.2089,1785.0494,1791.7928,1787.8915,1789.2188,1794.2795,1802.7660,1799.2078,1775.8771,1802.7660,1775.8771,1790.9501,7.4540
Cx0.70_Mut0.20,1801.6267,1799.0720,1781.8814,1796.9192,1791.1175,1795.8484,1794.0141,1797.6936,1795.5636,1795.2392,1801.6267,1781.8814,1794.8976,5.1046
Cx0.80_Mut0.05,1796.7235,1784.3938,1785.4471,1788.5383,1786.9083,1792.2888,1795.5123,1802.2698,1794.8770,1789.0738,1802.2698,1784.3938,1791.6033,5.4237
Cx0.80_Mut0.10,1796.4886,1796.4156,1796.3440,1800.4266,1793.7120,1796.6004,1802.1075,1795.1896,1795.3006,1793.0832,1802.1075,1793.0832,1796.5668,2.6356
Cx0.80_Mut0.20,1791.8289,1792.0208,1804.4396,1795.5602,1798.3275,1802.1849,1796.4903,1803.8730,1791.2184,1789.9061,1804.4396,1789.9061,1796.5850,5.1684
Cx0.90_Mut0.05,1795.3052,1804.5168,1794.7179,1782.5845,1804.0991,1798.0764,1795.1695,1797.5530,1794.0446,1797.9226,1804.5168,1782.5845,1796.3989,5.7756
Cx0.90_Mut0.10,1795.8073,1803.2927,1792.8561,1799.8508,1795.9484,1796.8841,1798.7188,1797.3140,1798.4978,1800.6886,1803.2927,1792.8561,1797.9859,2.7681
Cx0.90_Mut0.20,1800.3100,1796.6058,1798.9816,1801.6700,1799.8226,1796.0402,1797.4139,1801.0433,1795.8251,1800.7474,1801.6700,1795.8251,1798.8460,2.0881

# Comparando Selecoes
Sel_Torneio,1791.1671,1791.9958,1800.8323,1786.2920,1784.7113,1784.0794,1798.5680,1795.5529,1792.5186,1797.4205,1800.8323,1784.0794,1792.3138,5.5819
Sel_Roleta,1776.2788,1784.3990,1780.6241,1781.5045,1772.1415,1778.1793,1777.9095,1780.5931,1768.1221,1769.2047,1784.3990,1768.1221,1776.8957,5.1662

# Comparando Crossovers
Cross_Uniforme,1795.2719,1787.7480,1783.1923,1794.0338,1794.7175,1788.3772,1791.2902,1797.2488,1795.2401,1792.5453,1797.2488,1783.1923,1791.9665,4.1212
Cross_UmPonto,1760.7122,1780.5276,1782.4452,1773.0531,1765.2648,1748.8357,1780.1774,1787.3953,1764.7144,1777.0183,1787.3953,1748.8357,1772.0144,11.2891


=== HIBRIDOS ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Hibrido1_EA+HC,1783.1052,1798.9643,1791.2228,1797.0575,1796.1731,1801.6952,1797.5635,1798.3744,1800.1754,1799.4305,1801.6952,1783.1052,1796.3762,5.1705
Hibrido2_HC+EA,1744.5107,1761.4098,1748.9392,1750.0904,1750.8465,1755.4066,1756.7353,1752.0581,1763.3192,1750.0687,1763.3192,1744.5107,1753.3385,5.5403
Hibrido3_EA_Refinado,1805.2709,1804.5614,1803.1990,1804.7832,1804.3731,1804.5298,1805.1527,1804.2383,1804.5087,1803.6723,1805.2709,1803.1990,1804.4289,0.5930


=== COMPARACAO FINAL ===
Algoritmo,Melhor,Pior,Media,Desvio
Melhor HC,1804.8711,1794.0144,1798.1071,3.0836
Melhor EA,1804.8295,1799.6861,1803.0045,1.5991
Hibrido 1,1801.6952,1783.1052,1796.3762,5.1705
Hibrido 2,1763.3192,1744.5107,1753.3385,5.5403
