RESULTADOS,tourism_250.txt
C,250,m,50,Runs,10,Seed,1765137758

=== HILL CLIMBING ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Viz1_Iter500,1725.2292,1745.4258,1751.5985,1754.0046,1761.5556,1745.2559,1760.5159,1745.0489,1764.1224,1740.1286,1764.1224,1725.2292,1749.2885,11.1179
Viz1_Iter1000,1777.4792,1793.5975,1788.6593,1785.5387,1790.0589,1786.4376,1775.6795,1786.7004,1779.8900,1790.0126,1793.5975,1775.6795,1785.4054,5.5783
Viz1_Iter2000,1795.7061,1799.8792,1800.0844,1794.9490,1804.8711,1799.3511,1797.4265,1795.5547,1794.0144,1799.2348,1804.8711,1794.0144,1798.1071,3.0836
Viz2_Iter500,1690.5904,1720.6781,1674.7490,1718.6673,1736.3837,1704.7071,1731.0070,1735.2267,1695.1215,1718.4687,1736.3837,1674.7490,1712.5599,19.5905
Viz2_Iter1000,1749.9431,1757.0353,1751.8415,1757.1299,1755.3995,1744.7937,1749.2965,1751.6825,1757.2201,1749.6887,1757.2201,1744.7937,1752.4031,3.9723
Viz2_Iter2000,1769.9668,1782.1537,1776.1810,1773.2155,1776.0281,1774.7677,1767.3745,1763.1837,1759.9268,1768.4838,1782.1537,1759.9268,1771.1282,6.3224


=== EVOLUTIVO ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio

# Variando Populacao
Pop30_Gen100,1778.9755,1770.7575,1739.1077,1768.6899,1771.1010,1780.6972,1769.0627,1780.1520,1780.3395,1769.9769,1780.6972,1739.1077,1770.8860,11.6440
Pop50_Gen100,1798.0323,1786.1289,1773.1035,1794.1950,1800.7559,1798.3396,1790.4854,1795.8921,1788.9889,1796.4289,1800.7559,1773.1035,1792.2350,7.7148
Pop100_Gen100,1804.8295,1804.4244,1803.7779,1803.4874,1804.3722,1800.8934,1803.7573,1803.0320,1801.7850,1799.6861,1804.8295,1799.6861,1803.0045,1.5991

# Variando Probabilidades
