Grafo;Algoritmo;Configuracao;Melhor;Pior;Media;Desvio
tourism_20.txt;HillClimbing;"Vizinhanca 1, Iteracoes 500";164.6500;164.6500;164.6500;0.0000
tourism_20.txt;HillClimbing;"Vizinhanca 1, Iteracoes 1000";164.6500;164.6500;164.6500;0.0000
tourism_20.txt;HillClimbing;"Vizinhanca 2, Iteracoes 500";164.6500;159.8700;162.9200;1.6597
tourism_20.txt;HillClimbing;"Vizinhanca 2, Iteracoes 1000";164.6500;161.6000;163.8840;1.0252
tourism_20.txt;SimAnnealing;"Tmax 100, Tmin 0.001, Alpha 0.99, Viz 1";164.6500;164.6500;164.6500;0.0000
tourism_20.txt;SimAnnealing;"Tmax 100, Tmin 0.001, Alpha 0.95, Viz 1";164.6500;164.6500;164.6500;0.0000
tourism_20.txt;Evolutivo;"Cross Uniforme (1), Selecao Torneio (1)";164.6500;164.6500;164.6500;0.0000
tourism_20.txt;Evolutivo;"Cross DoisPontos (3), Selecao Roleta (2)";164.6500;164.6500;164.6500;0.0000
tourism_20.txt;Hibrido1_GA_SA;"H1: Tmax 100, Tmin 0.001, Alpha 0.99, Viz 1, Cross 1, Sel 1";164.6500;164.6500;164.6500;0.0000
tourism_20.txt;Hibrido2_GA_HC;"H2: Iter 1000, Viz 1, Cross 1, Sel 1";164.6500;164.6500;164.6500;0.0000
