Grafo;Algoritmo;Configuracao;Melhor;Pior;Media;Desvio
tourism_50.txt;HillClimbing;"Vizinhanca 1, Iteracoes 500";499.5400;496.9000;498.5270;1.0175
tourism_50.txt;HillClimbing;"Vizinhanca 1, Iteracoes 1000";499.5400;498.1300;499.2440;0.4443
tourism_50.txt;HillClimbing;"Vizinhanca 2, Iteracoes 500";493.4200;484.1000;488.8190;2.7700
tourism_50.txt;HillClimbing;"Vizinhanca 2, Iteracoes 1000";497.8500;488.1800;494.7680;3.0542
tourism_50.txt;SimAnnealing;"Tmax 100, Tmin 0.001, Alpha 0.99, Viz 1";499.5400;499.5400;499.5400;0.0000
tourism_50.txt;SimAnnealing;"Tmax 100, Tmin 0.001, Alpha 0.95, Viz 1";499.5400;499.5400;499.5400;0.0000
tourism_50.txt;Evolutivo;"Cross Uniforme (1), Selecao Torneio (1)";499.5400;499.5400;499.5400;0.0000
tourism_50.txt;Evolutivo;"Cross DoisPontos (3), Selecao Roleta (2)";499.5400;496.7700;498.4560;1.0543
tourism_50.txt;Hibrido1_GA_SA;"H1: Tmax 100, Tmin 0.001, Alpha 0.99, Viz 1, Cross 1, Sel 1";499.5400;499.5400;499.5400;0.0000
tourism_50.txt;Hibrido2_GA_HC;"H2: Iter 1000, Viz 1, Cross 1, Sel 1";499.5400;499.5400;499.5400;0.0000
