Grafo;Algoritmo;Configuracao;Melhor;Pior;Media;Desvio
tourism_250.txt;HillClimbing;"Vizinhanca 1, Iteracoes 500";1766.7700;1737.1400;1754.9010;9.0777
tourism_250.txt;HillClimbing;"Vizinhanca 1, Iteracoes 1000";1791.4000;1776.1300;1783.9930;5.0399
tourism_250.txt;HillClimbing;"Vizinhanca 2, Iteracoes 500";1745.1900;1700.5100;1722.7720;12.4815
tourism_250.txt;HillClimbing;"Vizinhanca 2, Iteracoes 1000";1762.8600;1738.6300;1753.7780;6.8744
tourism_250.txt;SimAnnealing;"Tmax 100, Tmin 0.001, Alpha 0.99, Viz 1";1805.4800;1805.2900;1805.4540;0.0585
tourism_250.txt;SimAnnealing;"Tmax 100, Tmin 0.001, Alpha 0.95, Viz 1";1805.4100;1803.3900;1804.0680;0.5428
tourism_250.txt;Evolutivo;"Cross Uniforme (1), Selecao Torneio (1)";1805.3700;1802.2700;1804.4630;1.0042
tourism_250.txt;Evolutivo;"Cross DoisPontos (3), Selecao Roleta (2)";1752.4300;1712.2600;1740.0280;11.0219
tourism_250.txt;Hibrido1_GA_SA;"H1: Tmax 100, Tmin 0.001, Alpha 0.99, Viz 1, Cross 1, Sel 1";1805.4800;1805.3700;1805.4470;0.0504
tourism_250.txt;Hibrido2_GA_HC;"H2: Iter 1000, Viz 1, Cross 1, Sel 1";1805.4800;1803.4600;1804.6810;0.5409
