RESULTADOS,tourism_100.txt
C,100,m,20,Runs,10,Seed,1765131578

=== HILL CLIMBING ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Viz1_Iter500,687.4041,683.4464,686.4344,683.9951,669.2457,689.0695,681.8777,685.5514,677.3073,683.8109,689.0695,669.2457,682.8142,5.4671
Viz1_Iter1000,691.7272,690.8487,689.7638,690.5500,689.0177,689.3076,688.7221,690.5376,690.6788,690.4304,691.7272,688.7221,690.1584,0.8845
Viz1_Iter2000,692.0101,691.7272,691.3974,690.7350,691.6478,690.1916,691.8820,690.5607,691.9321,691.9321,692.0101,690.1916,691.4016,0.6282
Viz2_Iter500,678.0471,671.6520,666.0214,673.0459,674.0103,670.0106,681.6189,678.7337,677.5265,672.9945,681.6189,666.0214,674.3661,4.4152
Viz2_Iter1000,684.5372,680.4418,678.1767,680.9148,680.6760,680.8680,681.9188,675.7850,680.5786,681.3916,684.5372,675.7850,680.5289,2.1697
Viz2_Iter2000,685.5058,684.7878,685.5287,686.5354,684.7107,684.6188,685.5715,687.3244,681.5865,685.3761,687.3244,681.5865,685.1546,1.4301


=== EVOLUTIVO ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio

# Variando Populacao
Pop30_Gen100,686.0305,690.4620,688.9294,688.1861,676.1735,687.8234,689.3057,683.8795,684.9612,684.2294,690.4620,676.1735,685.9981,3.9089
Pop50_Gen100,691.2698,687.4571,689.9537,689.9119,688.3708,689.8210,687.1989,691.5707,688.2148,689.2065,691.5707,687.1989,689.2975,1.4132
Pop100_Gen100,691.9321,692.0101,690.2232,691.9321,691.5649,691.6478,690.8460,692.0101,689.0235,691.8820,692.0101,689.0235,691.3072,0.9426

# Variando Probabilidades
Cx0.70_Mut0.05,683.3606,686.9676,689.3100,689.6038,689.2273,680.4919,677.7228,685.9120,688.8198,688.0329,689.6038,677.7228,685.9449,3.9138
Cx0.70_Mut0.10,691.9321,687.7792,683.4950,691.9321,688.9986,687.0191,690.7395,690.2150,690.0059,676.4673,691.9321,676.4673,687.8584,4.4996
Cx0.70_Mut0.20,690.6607,690.0942,689.1282,688.7361,690.8557,687.0215,691.7993,691.7993,690.9929,690.0136,691.7993,687.0215,690.1101,1.4052
Cx0.80_Mut0.05,689.0168,691.6845,690.9615,688.5932,688.4570,685.2020,690.6972,690.7350,682.5211,688.5227,691.6845,682.5211,688.6391,2.6969
Cx0.80_Mut0.10,688.0159,687.4181,687.8335,689.3488,692.0101,688.4468,690.8487,691.2537,684.6965,690.3536,692.0101,684.6965,689.0226,2.0776
Cx0.80_Mut0.20,690.4175,689.7709,691.9321,689.2540,690.4993,690.3636,691.6478,689.0502,690.8557,689.7228,691.9321,689.0502,690.3514,0.8994
Cx0.90_Mut0.05,690.4304,691.2447,688.4575,688.6912,689.1470,691.7272,686.4711,687.2233,692.0101,690.0654,692.0101,686.4711,689.5468,1.7802
Cx0.90_Mut0.10,689.5369,690.8557,689.8771,689.0467,691.1101,690.5313,692.0101,690.6972,688.3401,691.9321,692.0101,688.3401,690.3937,1.1336
Cx0.90_Mut0.20,691.5106,691.7277,690.8204,689.9998,691.7993,691.8820,690.6453,690.6176,692.0101,689.1222,692.0101,689.1222,691.0135,0.8976

# Comparando Selecoes
Sel_Torneio,689.2571,690.5718,685.7889,690.8487,691.7277,688.6524,690.9840,689.1133,689.3905,689.3100,691.7277,685.7889,689.5644,1.5760
Sel_Roleta,688.1102,684.3968,685.9833,690.2118,689.1609,689.9246,687.4995,688.7509,687.5036,687.6425,690.2118,684.3968,687.9184,1.6771

# Comparando Crossovers
Cross_Uniforme,687.2354,689.8947,684.4902,689.8530,690.3536,689.3976,691.5106,688.3823,690.7395,689.3822,691.5106,684.4902,689.1239,1.9151
Cross_UmPonto,688.2923,691.7277,683.4808,690.7350,688.7570,689.4589,689.7546,683.2328,685.4067,688.3257,691.7277,683.2328,687.9171,2.7777


=== HIBRIDOS ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Hibrido1_EA+HC,690.1916,690.0963,690.7177,688.1496,690.9254,689.8642,689.2067,692.0101,688.2923,690.2262,692.0101,688.1496,689.9680,1.1174
Hibrido2_HC+EA,686.7158,691.6845,687.4177,689.3848,686.7758,688.3339,689.9559,684.3664,684.7019,690.2947,691.6845,684.3664,687.9631,2.2858
Hibrido3_EA_Refinado,692.0101,692.0101,692.0101,692.0101,692.0101,692.0101,692.0101,692.0101,691.7272,692.0101,692.0101,691.7272,691.9818,0.0849


=== COMPARACAO FINAL ===
Algoritmo,Melhor,Pior,Media,Desvio
Melhor HC,692.0101,690.1916,691.4016,0.6282
Melhor EA,692.0101,689.0235,691.3072,0.9426
Hibrido 1,692.0101,688.1496,689.9680,1.1174
Hibrido 2,691.6845,684.3664,687.9631,2.2858
