RESULTADOS,tourism_50.txt
C,50,m,15,Runs,10,Seed,1765131559

=== HILL CLIMBING ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Viz1_Iter500,493.6019,494.8644,495.8377,495.6815,495.3160,498.0004,498.0004,499.5381,497.2957,498.0306,499.5381,493.6019,496.6167,1.7366
Viz1_Iter1000,499.5381,499.2953,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.2953,499.5138,0.0728
Viz1_Iter2000,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,0.0000
Viz2_Iter500,491.6367,487.3033,491.6054,497.6478,488.6991,493.8404,487.0968,484.5929,494.2658,495.9903,497.6478,484.5929,491.2679,4.0389
Viz2_Iter1000,496.7074,497.6524,497.5470,497.5715,492.8502,496.4868,496.2619,494.5928,495.9112,497.5470,497.6524,492.8502,496.3128,1.4739
Viz2_Iter2000,495.9112,496.7535,494.7790,499.5381,499.2953,497.2946,499.2953,497.2114,497.5699,498.3830,499.5381,494.7790,497.6031,1.4795


=== EVOLUTIVO ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio

# Variando Populacao
Pop30_Gen100,499.5381,499.5381,499.5381,494.2142,498.4144,499.5381,498.3830,499.5381,499.5381,497.0579,499.5381,494.2142,498.5298,1.6409
Pop50_Gen100,499.5381,498.3343,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,496.1586,499.2953,499.5381,496.1586,499.0555,1.0296
Pop100_Gen100,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,0.0000

# Variando Probabilidades
Cx0.70_Mut0.05,498.1275,499.5381,499.2953,499.2953,499.5381,498.3830,497.4428,498.1275,498.4144,499.5381,499.5381,497.4428,498.7700,0.7201
Cx0.70_Mut0.10,499.5381,498.7146,499.5381,495.6226,499.5381,498.1275,498.1275,496.8445,498.7146,497.4287,499.5381,495.6226,498.2194,1.2240
Cx0.70_Mut0.20,498.0004,498.3830,498.7146,498.7146,499.5381,498.3343,499.2953,499.5381,497.4780,497.0852,499.5381,497.0852,498.5082,0.7884
Cx0.80_Mut0.05,499.5381,499.5381,498.4144,499.5381,498.7146,497.0579,498.1275,498.7146,499.2953,497.6478,499.5381,497.0579,498.6586,0.8160
Cx0.80_Mut0.10,499.5381,498.3830,497.0579,499.5381,499.5381,499.5381,499.5381,498.3343,499.5381,496.7715,499.5381,496.7715,498.7775,1.0394
Cx0.80_Mut0.20,499.5381,499.2953,498.1275,499.5381,498.7146,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,498.1275,499.2904,0.4597
Cx0.90_Mut0.05,499.5381,499.2953,499.2953,499.2953,499.2953,499.5381,497.6478,499.5381,499.5381,499.5381,499.5381,497.6478,499.2520,0.5468
Cx0.90_Mut0.10,499.5381,499.5381,499.5381,498.0306,499.2953,499.5381,498.7146,498.7146,498.1275,497.6524,499.5381,497.6524,498.8687,0.6894
Cx0.90_Mut0.20,499.5381,498.1275,499.5381,498.7146,498.4144,499.5381,497.8809,499.5381,499.5381,499.5381,499.5381,497.8809,499.0366,0.6451

# Comparando Selecoes
Sel_Torneio,499.2953,499.5381,498.1275,499.5381,499.5381,499.5381,495.6226,499.5381,499.5381,499.5381,499.5381,495.6226,498.9812,1.1949
Sel_Roleta,499.2953,499.5381,499.5381,499.5381,499.5381,499.2953,499.2953,499.5381,499.5381,499.5381,499.5381,499.2953,499.4653,0.1113

# Comparando Crossovers
Cross_Uniforme,499.5381,499.5381,499.5381,499.5381,499.2953,498.7146,498.1275,499.5381,499.5381,499.5381,499.5381,498.1275,499.2904,0.4597
Cross_UmPonto,499.5381,499.5381,498.3830,494.7110,498.1275,496.5258,498.3830,497.0852,499.5381,497.0579,499.5381,494.7110,497.8888,1.4832


=== HIBRIDOS ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Hibrido1_EA+HC,498.7146,499.5381,498.1275,498.7146,498.7146,498.7146,499.5381,499.5381,499.5381,499.2953,499.5381,498.1275,499.0434,0.4810
Hibrido2_HC+EA,499.5381,498.7146,499.2953,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,498.7146,499.4315,0.2497
Hibrido3_EA_Refinado,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,499.5381,0.0000


=== COMPARACAO FINAL ===
Algoritmo,Melhor,Pior,Media,Desvio
Melhor HC,499.5381,499.5381,499.5381,0.0000
Melhor EA,499.5381,499.5381,499.5381,0.0000
Hibrido 1,499.5381,498.1275,499.0434,0.4810
Hibrido 2,499.5381,498.7146,499.4315,0.2497
